CODE_IRIS_2009,CODE_IRIS_2010,CODE_IRIS_2011,CODE_IRIS_2012,CODE_IRIS_2013,CODE_IRIS_2014,CODE_IRIS_2015,CODE_IRIS_2016,CODE_IRIS_2017,CODE_IRIS_2018,CODE_IRIS_2019
010010000,010010000,010010000,010010000,010010000,010010000,010010000,010010000,010010000,010010000,010010000
010020000,010020000,010020000,010020000,010020000,010020000,010020000,010020000,010020000,010020000,010020000
010040101,010040101,010040101,010040101,010040101,010040101,010040101,010040101,010040101,010040101,010040101
010040102,010040102,010040102,010040102,010040102,010040102,010040102,010040102,010040102,010040102,010040102
010040201,010040201,010040201,010040201,010040201,010040201,010040201,010040201,010040201,010040201,010040201
010040202,010040202,010040202,010040202,010040202,010040202,010040202,010040202,010040202,010040202,010040202
010050000,010050000,010050000,010050000,010050000,010050000,010050000,010050000,010050000,010050000,010050000
010060000,010060000,010060000,010060000,010060000,010060000,010060000,010060000,010060000,010060000,010060000
010070000,010070000,010070000,010070000,010070000,010070000,010070000,010070000,010070000,010070000,010070000
010080000,010080000,010080000,010080000,010080000,010080000,010080000,010080000,010080000,010080000,010080000
010090000,010090000,010090000,010090000,010090000,010090000,010090000,010090000,010090000,010090000,010090000
010100000,010100000,010100000,010100000,010100000,010100000,010100000,010100000,010100000,010100000,010100000
010110000,010110000,010110000,010110000,010110000,010110000,010110000,010110000,010110000,010110000,010110000
010120000,010120000,010120000,010120000,010120000,010120000,010120000,010120000,010120000,010120000,010120000
010130000,010130000,010130000,010130000,010130000,010130000,010130000,010130000,010130000,010130000,010130000
010140000,010140000,010140000,010140000,010140000,010140000,010140000,010140000,010140000,010140000,010140000
013400000,013400000,013400000,013400000,013400000,013400000,013400000,010150000,010150000,010150000,010150000
010160000,010160000,010160000,010160000,010160000,010160000,010160000,010160000,010160000,010160000,010160000
010170000,010170000,010170000,010170000,010170000,010170000,010170000,010170000,010170000,010170000,010170000
010190000,010190000,010190000,010190000,010190000,010190000,010190000,010190000,010190000,010190000,010190000
